OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO
5580;QUIK LOK;JUST JR 4,5;"Cable Plug-Plug  Angular | 4.5 Mts | Conectores Plug Mono TS 6.3mm, Acabado Negro | Cable 6.0 mm, revestimiento exterior PVC 
";Cables y Mangueras;>10;22357.08;0.21;0;0.45;39225.502;;https://todomusica.com.ar/29586-large_default/img.jpg; https://todomusica.com.ar/29587-large_default/img.jpg; https://todomusica.com.ar/29588-large_default/img.jpg;0;0;
5580;QUIK LOK;JUST JR 6;"Cable Plug-Plug  Angular | 6 Mts | Conectores Plug Mono TS 6.3mm, Acabado Negro | Cable 6.0 mm, revestimiento exterior PVC 
";Cables y Mangueras;INGRESANDO;25472.42;0.21;0;0.45;44691.362;;https://todomusica.com.ar/29583-large_default/img.jpg; https://todomusica.com.ar/29584-large_default/img.jpg; https://todomusica.com.ar/29585-large_default/img.jpg;0;0;
5580;QUIK LOK;JUST MF 10;Cable XLR -XLR | Balanceado  |10 Mts |  Acabado Negro | Cable 6.0 mm, | revestimiento exterior PVC;Cables y Mangueras;INGRESANDO;34864.23;0.21;0;0.45;61169.287;;https://todomusica.com.ar/29577-large_default/img.jpg; https://todomusica.com.ar/29578-large_default/img.jpg; https://todomusica.com.ar/29579-large_default/img.jpg;0;0;
5580;QUIK LOK;JUST MF 10  SL;"Cable XLR -XLR | Balanceado  |10 Mts |  Acabado Silver | Cable 6.0 mm, | revestimiento exterior PVC 
";Cables y Mangueras;>10;34864.23;0.21;0;0.45;61169.287;;https://todomusica.com.ar/29580-large_default/img.jpg; https://todomusica.com.ar/29581-large_default/img.jpg; https://todomusica.com.ar/29582-large_default/img.jpg;0;0;
5580;QUIK LOK;JUST MF 15;"Cable XLR -XLR | Balanceado  |15 Mts |  Acabado  Negro | Cable 6.0 mm, | revestimiento exterior PVC 
";Cables y Mangueras;INGRESANDO;46226.01;0.21;0;0.45;81103.529;;https://todomusica.com.ar/29574-large_default/img.jpg; https://todomusica.com.ar/29575-large_default/img.jpg; https://todomusica.com.ar/29576-large_default/img.jpg;0;0;
5580;QUIK LOK;JUST MF 5;"Cable XLR -XLR | Balanceado  | 5 Mts |  Acabado  Negro | Cable 6.0 mm, | revestimiento exterior PVC 
";Cables y Mangueras;INGRESANDO;24006.37;0.21;0;0.45;42119.18;;https://todomusica.com.ar/29571-large_default/img.jpg; https://todomusica.com.ar/29572-large_default/img.jpg; https://todomusica.com.ar/29573-large_default/img.jpg;0;0;
5580;QUIK LOK;JUST MJM 5;Cable XLR - Plug TS  |5 Mts | Acabado Negro | Cable 6.0 mm, revestimiento exterior efecto Terciopelo;Cables y Mangueras;INGRESANDO;22815.21;0.21;0;0.45;40029.281;;https://todomusica.com.ar/29567-large_default/img.jpg; https://todomusica.com.ar/29568-large_default/img.jpg; https://todomusica.com.ar/29570-large_default/img.jpg;0;0;
5580;QUIK LOK;J/XLR-F-S;Conector XLR Hembra  | Clip de cable negro flexible | Cuerpo metálico, acabado Plateado  MCX6;Cables y Mangueras;>10;5772.523;0.21;0;0.45;10127.892;;https://todomusica.com.ar/29602-large_default/img.jpg;0;0;0;0;
5580;QUIK LOK;J/XLR-M-S;Conector XLR Macho  | Clip de cable negro flexible | Cuerpo metálico, acabado Plateado MCX6;Cables y Mangueras;>10;5772.523;0.21;0;0.45;10127.892;;https://todomusica.com.ar/29601-large_default/img.jpg;0;0;0;0;
5580;QUIK LOK;LPH/001;Soporte trípode multifunción, | altura de base regulable 82 - 132 cm  | 39x31cm | Peso 4,1 Kg | Soporta 15 Kg;Accesorios de Sonido;INGRESANDO;103658.31;0.21;0;0.45;181868.506;;https://todomusica.com.ar/29504-large_default/img.jpg; https://todomusica.com.ar/29505-large_default/img.jpg; https://todomusica.com.ar/29506-large_default/img.jpg; https://todomusica.com.ar/29507-large_default/img.jpg; https://todomusica.com.ar/29508-large_default/img.jpg;
